Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Aubergine, fried in rapeseed oil",Calculated from fried in corn oil and 17-686,59.50,0.19,1.20,31.90,2.80,302.00,1262,0.20,,2.60,1.4,0.0,1.1,0.1,0.0,0.0,0.0,2.3,N,,2.18,,,,,,,,16.68,,,,9.43,,,,,,Tr,0.00,2.00,170.00,8.00,8.00,25.00,0.50,0.03,0.10,16.00,0.20,1.00,1.00,0.00,125.00,21.00,0.00,7.03,,0.00,Tr,Tr,0.20,0.20,0.07,0.00,5.00,0.07,N,1.00
"Aubergine, raw",Ends trimmed,92.90,0.14,0.90,0.40,2.20,15.00,64,0.20,,2.00,1.1,0.0,0.8,0.1,0.0,0.0,0.0,2.0,N,,0.10,,,,,,,,Tr,,,,0.20,,,,,,0.00,0.00,2.00,210.00,10.00,11.00,16.00,0.30,0.01,0.20,14.00,0.10,1.00,1.00,0.00,70.00,12.00,0.00,0.03,6.10,0.02,0.01,0.10,0.20,0.30,0.08,0.00,18.00,0.08,N,4.00
"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,85.50,0.34,2.00,4.60,3.90,64.00,267,2.10,0.1,1.70,0.8,0.0,0.7,0.1,0.0,0.0,,1.9,,,0.50,,,,,,,,1.60,,,,2.20,,,,,,,0.00,79.00,240.00,12.00,12.00,38.00,0.80,0.11,0.30,31.00,0.20,7.00,N,0.00,125.00,21.00,0.00,1.21,,0.04,0.03,0.50,0.30,0.80,0.09,0.00,10.00,N,N,3.00
"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",77.30,0.30,1.90,2.10,15.90,86.00,364,9.80,,6.00,3.0,,2.7,0.2,0.0,0.0,0.0,2.1,N,,0.22,,,,,,,,1.01,,,,0.70,,,,,,Tr,0.00,7.00,280.00,21.00,15.00,33.00,0.58,0.06,0.30,53.00,0.19,3.00,1.00,0.00,143.00,24.00,0.00,0.50,,0.04,0.01,0.40,0.40,0.80,0.09,0.00,12.00,0.12,N,5.00
"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",75.30,0.84,5.00,9.70,3.60,119.00,496,0.20,,3.20,1.5,,1.4,0.3,0.0,0.0,,2.2,N,,3.48,,,,,,,,3.90,,,,1.61,,,,,,0.21,13.90,109.00,396.00,125.00,21.00,119.00,0.60,0.11,0.90,217.00,0.17,5.00,6.00,52.00,273.00,98.00,0.00,1.24,,0.07,0.12,0.90,1.30,2.20,0.13,0.30,34.00,0.73,N,7.00
"Avocado, Fuerte, flesh only",10 samples and literature,73.10,0.34,2.10,19.30,1.90,189.00,780,Tr,,0.50,0.3,,0.1,0.1,0.0,0.0,,3.4,,,3.50,,,,,,,,12.90,,,,1.80,,,,,,,0.00,9.00,430.00,11.00,25.00,43.00,0.40,0.35,0.60,9.00,0.20,Tr,2.00,0.00,16.00,3.00,0.00,3.20,,0.12,0.19,1.00,0.40,1.40,0.34,0.00,13.00,1.10,3.60,5.00
"Avocado, Fuerte, flesh only, weighed with skin and stone",Calculated from 14-039,51.90,0.24,1.50,13.70,1.30,134.00,553,Tr,,0.40,0.2,,0.1,0.1,0.0,0.0,,2.4,,,2.50,,,,,,,,9.20,,,,1.30,,,,,,,0.00,6.00,310.00,8.00,18.00,31.00,0.30,0.25,0.40,6.00,0.10,Tr,1.00,0.00,11.00,2.00,0.00,2.27,,0.09,0.13,0.70,0.30,1.00,0.24,0.00,9.00,0.78,2.60,3.00
"Avocado, Hass, flesh only","11 samples, imported, Hass variety, ripe and ripen at home",71.50,0.29,1.80,17.40,1.80,171.00,703.00,Tr,1.40,0.40,0.20,0.00,0.20,Tr,0.00,0.00,0.00,3.40,3.10,,4.15,,,,,,,,9.98,,,,2.30,,,,,,0.00,0.00,7.00,583.00,19.00,27.00,57.00,0.51,0.25,0.60,17.00,0.28,Tr,1.00,0.00,16.00,3.00,0.00,2.19,,0.09,0.09,2.10,0.40,2.50,0.30,0.00,31.00,1.34,2.40,1.00
"Avocado, Hass, flesh only, weighed with skin and stone",Calculated from 14-386,49.30,0.20,1.30,12.00,1.30,118.00,486.00,Tr,1.00,0.30,0.10,0.00,0.10,Tr,0.00,0.00,0.00,2.30,2.10,,2.86,,,,,,,,6.89,,,,1.59,,,,,,0.00,0.00,5.00,402.00,13.00,19.00,39.00,0.35,0.17,0.38,12.00,0.19,Tr,Tr,0.00,11.00,2.00,0.00,1.51,,0.06,0.06,1.45,0.26,1.80,0.21,0.00,21.60,0.92,1.60,0.80
"Ayr, raw",Literature sources. Imported frozen from Bangladesh,78.10,2.54,15.90,1.30,0.00,75.00,318,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,N,N,380.00,N,180.00,0.70,0.06,N,N,N,N,N,Tr,Tr,Tr,Tr,N,,N,N,0.50,3.00,3.50,N,N,N,N,N,Tr
"Babaco, flesh only",Literature sources,93.90,0.18,1.10,0.10,3.10,17.00,72,0.00,,3.10,1.3,,1.1,0.7,0.0,0.0,,N,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,2.00,140.00,11.00,6.00,14.00,0.40,N,0.10,N,N,N,N,0.00,175.00,29.00,0.00,N,,0.03,0.04,0.70,N,N,N,0.00,N,N,N,26.00
"Bacha, raw",Literature sources. Imported frozen from Bangladesh,68.80,2.90,18.10,5.60,0.00,123.00,515,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,N,N,520.00,N,180.00,0.70,0.11,N,N,N,N,N,N,Tr,N,N,N,,N,N,0.60,3.40,4.00,N,N,N,N,N,Tr
"Bacon loin steaks, lean, grilled","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",60.60,4.62,28.90,4.30,1.10,158.00,668,0.00,,1.10,N,0.0,N,N,0.0,0.0,0.0,0.0,,,1.55,,,,,,,,1.82,,,,0.62,,,,,,0.02,31.00,990.00,370.00,6.00,23.00,220.00,0.60,0.07,1.90,1690.00,0.01,13.00,8.00,Tr,Tr,Tr,0.30,0.04,,1.19,0.13,7.80,4.80,12.60,0.58,1.00,3.00,1.35,5.00,Tr
"Bacon rashers, back, dry-cured, grilled","7 samples; smoked and unsmoked, loose and prepacked  British and Irish bacon",50.70,4.54,28.40,15.90,0.00,257.00,1071,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.00,,,,,,,,6.70,,,,2.10,,,,,,Tr,57.00,1730.00,400.00,9.00,26.00,240.00,0.80,0.08,2.40,2240.00,0.01,14.00,9.00,Tr,Tr,Tr,0.80,0.08,,1.09,0.19,8.50,3.50,12.00,0.56,1.00,3.00,1.48,6.00,Tr
"Bacon rashers, back, dry-fried","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",49.70,3.87,24.20,22.00,0.00,295.00,1225,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.30,,,,,,,,9.20,,,,2.80,,,,,,0.10,65.00,1410.00,360.00,6.00,21.00,180.00,0.60,0.06,1.90,2600.00,0.01,18.00,7.00,Tr,Tr,Tr,0.60,0.07,,0.86,0.14,6.80,4.40,11.20,0.53,1.00,2.00,1.26,5.00,Tr
"Bacon rashers, back, fat trimmed, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",56.20,4.11,25.70,12.30,0.00,214.00,892,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.60,,,,,,,,5.20,,,,1.60,,,,,,0.10,44.00,1430.00,360.00,8.00,23.00,210.00,0.70,0.07,2.20,1850.00,0.01,13.00,8.00,Tr,Tr,Tr,0.70,0.07,,0.98,0.17,7.70,4.70,12.40,0.50,1.00,3.00,1.34,5.00,Tr
"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",69.50,3.01,18.80,6.70,0.00,136.00,568,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.50,,,,,,,,2.80,,,,0.90,,,,,,Tr,31.00,1000.00,250.00,6.00,16.00,150.00,0.50,0.05,1.50,1290.00,0.01,9.00,6.00,Tr,Tr,Tr,0.50,0.05,Tr,0.68,0.12,5.40,3.30,8.70,0.35,1.00,2.00,0.93,4.00,Tr
"Bacon rashers, back, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",50.40,3.71,23.20,21.60,0.00,287.00,1194,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.10,12.29,2.41,1.59,0.31,45.11,8.85,,9.00,13.84,2.71,,2.80,40.34,7.91,0.20,0.04,0.04,0.01,75.00,1390.00,340.00,7.00,21.00,180.00,0.60,0.05,1.70,2060.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,0.07,,1.16,0.15,7.20,3.80,11.00,0.52,1.00,5.00,1.24,3.00,Tr
"Bacon rashers, back, grilled crispy","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",37.80,5.76,36.00,18.80,0.00,313.00,1308,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.10,,,,,,,,7.90,,,,2.40,,,,,,0.10,68.00,2000.00,510.00,10.00,32.00,300.00,1.10,0.10,3.10,2600.00,0.01,18.00,11.00,Tr,Tr,Tr,1.00,0.10,,1.38,0.24,10.80,6.60,17.40,0.71,1.00,4.00,1.34,5.00,Tr
"Bacon rashers, back, microwaved","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",45.50,3.87,24.20,23.30,0.00,307.00,1274,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.80,,,,,,,,9.80,,,,3.00,,,,,,0.10,84.00,1730.00,360.00,8.00,23.00,200.00,0.70,0.06,2.00,1750.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,0.07,,1.10,0.16,7.90,4.40,12.30,0.55,1.00,2.00,1.26,5.00,Tr
"Bacon rashers, back, raw","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",63.90,2.64,16.50,16.50,0.00,215.00,891,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.14,6.20,12.99,2.00,1.57,0.24,44.54,6.86,,6.90,14.52,2.24,,2.20,40.00,6.16,0.14,0.02,0.52,0.10,53.00,1140.00,300.00,5.00,17.00,150.00,0.40,0.06,1.20,1740.00,0.01,8.00,5.00,Tr,Tr,Tr,0.30,0.02,,0.63,0.11,5.60,2.60,8.20,0.46,Tr,3.00,1.00,2.00,1.00
"Bacon rashers, back, reduced salt, grilled","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",51.60,3.86,24.10,20.60,0.00,282.00,1172,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.80,,,,,,,,8.70,,,,2.70,,,,,,0.10,74.00,1130.00,340.00,7.00,22.00,200.00,0.70,0.09,2.10,1500.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,0.07,,0.92,0.16,7.20,4.40,11.60,0.47,1.00,2.00,1.25,5.00,Tr
"Bacon rashers, back, smoked, grilled",9 samples; loose and prepacked British and Danish bacon,50.50,3.74,23.40,22.10,0.00,293.00,1216,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.30,,,,,,,,9.30,,,,2.90,,,,,,0.10,80.00,1390.00,330.00,7.00,21.00,190.00,0.70,0.06,2.20,2060.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,0.07,,0.90,0.16,7.00,4.30,11.30,0.46,1.00,2.00,1.22,5.00,Tr
"Bacon rashers, back, sweetcure, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",52.80,3.81,23.80,17.40,1.60,258.00,1074,0.00,,1.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.60,,,,,,,,7.30,,,,2.20,,,,,,0.10,63.00,1390.00,340.00,7.00,21.00,200.00,0.80,0.09,2.40,2060.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,0.07,,0.91,0.16,7.10,4.40,11.50,0.47,1.00,3.00,1.24,5.00,Tr
"Bacon rashers, back, 'tendersweet', grilled","10 samples; smoked and unsmoked, loose and prepacked British bacon",55.40,4.22,26.40,11.90,Tr,213.00,889,0.00,,Tr,,,,,,,0.0,0.0,0.0,,4.50,,,,,,,,5.00,,,,1.50,,,,,,Tr,43.00,1390.00,370.00,8.00,24.00,220.00,0.80,0.09,2.40,2060.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,0.08,,1.01,0.18,7.90,4.80,12.70,0.51,1.00,3.00,1.37,5.00,Tr
"Bacon rashers, middle, fried in corn oil","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",43.60,3.74,23.40,28.50,0.00,350.00,1452,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.80,16.12,4.40,1.96,0.53,44.11,12.03,,11.90,18.04,4.48,,4.80,36.52,9.96,0.17,0.05,0.47,0.13,84.00,1390.00,350.00,10.00,20.00,210.00,0.70,0.07,2.30,2060.00,0.01,12.00,7.00,Tr,Tr,Tr,0.60,N,,0.64,0.14,7.30,4.30,11.60,0.46,1.00,6.00,1.22,5.00,Tr
"Bacon rashers, middle, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",47.80,3.97,24.80,23.10,0.00,307.00,1276,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.40,12.34,2.59,1.81,0.38,45.44,9.55,,10.00,14.10,2.96,,3.00,38.78,8.15,0.20,0.04,0.69,0.14,83.00,1390.00,350.00,8.00,21.00,220.00,0.70,0.07,2.20,2060.00,0.01,11.00,8.00,Tr,Tr,Tr,0.60,0.13,,0.77,0.17,7.50,5.10,12.60,0.42,1.00,3.00,1.27,6.00,Tr
"Bacon rashers, middle, raw","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",59.90,2.43,15.20,20.00,0.00,241.00,998,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.30,12.28,2.23,1.43,0.26,45.31,8.23,,8.60,13.59,2.27,,2.50,39.31,7.14,0.21,0.04,0.76,0.14,58.00,1050.00,260.00,6.00,16.00,160.00,0.40,0.08,1.50,1110.00,0.01,7.00,6.00,Tr,Tr,Tr,0.50,0.07,,0.58,0.11,4.90,2.50,7.40,0.41,1.00,5.00,0.99,3.00,Tr
"Bacon rashers, streaky, fried in corn oil","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",45.10,3.81,23.80,26.60,0.00,335.00,1389,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.10,,,,,,,,11.10,,,,4.50,,,,,,0.10,78.00,1680.00,350.00,7.00,21.00,200.00,0.70,0.07,2.10,2630.00,0.01,10.00,7.00,Tr,Tr,Tr,0.60,N,,0.75,0.14,7.10,4.40,11.50,0.47,1.00,1.00,1.24,5.00,Tr
"Bacon rashers, streaky, grilled","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",44.00,3.81,23.80,26.90,0.00,337.00,1400,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.80,13.17,3.22,1.60,0.39,45.05,11.02,,11.50,14.72,3.17,,3.70,38.95,9.53,0.16,0.04,0.42,0.10,90.00,1680.00,330.00,9.00,20.00,180.00,0.80,0.15,2.50,2630.00,0.01,11.00,6.00,Tr,Tr,Tr,0.70,0.07,,0.70,0.17,6.30,4.30,10.60,0.40,1.00,3.00,1.22,4.00,Tr
"Bacon rashers, streaky, raw","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",57.30,2.53,15.80,23.60,0.00,276.00,1142,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.20,14.14,3.04,1.74,0.37,45.66,9.82,,10.20,15.84,3.07,,3.50,37.08,7.97,0.18,0.04,0.49,0.10,65.00,1260.00,250.00,6.00,15.00,140.00,0.50,0.06,1.50,1500.00,0.01,7.00,7.00,Tr,Tr,Tr,0.90,0.07,,0.45,0.14,4.70,2.70,7.40,0.30,1.00,3.00,0.92,2.00,Tr
"Bacon, fat only, average, cooked",Fat from five different cuts,13.80,1.48,9.30,72.80,0.00,692.00,2852,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.50,,,,,,,,32.90,,,,7.60,,,,,,N,270.00,740.00,130.00,7.00,10.00,90.00,0.80,0.09,0.80,1136.00,Tr,2.00,11.00,Tr,Tr,Tr,N,0.36,Tr,N,N,N,1.70,N,N,Tr,Tr,N,Tr,0.00
"Bacon, fat only, average, raw",Fat from five different cuts,12.80,0.76,4.80,80.90,0.00,747.00,3075,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.50,,,,,,,,36.10,,,,8.90,,,,,,N,198.00,420.00,75.00,3.00,4.00,38.00,0.70,0.06,0.60,610.00,Tr,1.00,11.00,Tr,Tr,Tr,Tr,0.11,,N,N,N,0.90,N,N,Tr,Tr,N,Tr,0.00
"Bagels, plain",2 brands,32.10,1.60,10.00,1.80,57.80,273.00,1161,51.30,1.7,4.80,0.8,,1.0,Tr,3.0,0.0,0.0,2.4,3.0,,N,,,,,,,,N,,,,N,,,,,,N,0.00,400.00,N,N,N,N,N,N,N,N,N,N,N,0.00,0.00,0.00,0.00,N,,N,N,N,N,N,N,0.00,N,N,N,0.00
"Baked beans, canned in barbecue sauce","5 cans (Heinz), and manufacturer's data",71.80,0.85,5.30,0.40,14.00,77.00,329,9.20,,4.80,0.9,0.0,1.1,2.8,0.0,0.0,0.0,3.8,4.9,,N,,,,,,,,N,,,,N,,,,,,Tr,0.00,260.00,N,N,N,N,N,N,N,471.00,N,N,N,0.00,N,N,0.00,N,,N,N,N,0.90,N,N,0.00,N,N,N,Tr
"Baked beans, canned in tomato sauce","16 samples, 9 brands",72.80,0.81,5.00,0.50,15.00,81.00,343,10.20,,4.80,0.6,0.0,0.8,3.4,0.0,0.0,,3.8,4.9,22.92,0.09,,0.13,,0.15,15.56,0.06,,0.06,68.75,0.27,,0.27,,,,,0.06,Tr,0.00,261.00,272.00,42.00,30.00,88.00,1.42,0.24,0.60,471.00,0.33,3.00,Tr,0.00,23.00,4.00,0.00,0.35,,0.21,0.03,0.70,1.00,1.70,0.13,0.00,29.00,0.11,2.50,Tr
"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Estimated from 13-532 and industry data,72.80,0.81,5.00,0.50,13.50,75.00,320.00,10.20,Tr,3.30,0.6,0.0,0.8,1.9,0.0,0.0,,3.8,4.9,,0.09,,,,,,,,0.06,,,,0.27,,,,,,Tr,0.00,190.00,272.00,42.00,30.00,88.00,1.42,0.24,0.60,340.00,0.33,3.00,Tr,0.00,23.00,4.00,0.00,0.35,,0.21,0.03,0.70,1.00,1.70,0.13,0.00,29.00,0.11,2.50,Tr
"Baked beans, canned in tomato sauce, with pork sausages","LGC; 10 cans, 3 brands",72.50,0.96,6.00,4.50,11.00,98.00,411,7.00,,4.00,0.5,0.0,0.7,2.8,0.0,0.0,0.0,2.8,3.3,,N,,,,,,,,N,,,,N,,,,,,Tr,N,260.00,250.00,39.00,27.00,93.00,1.50,0.02,0.60,390.00,0.30,N,N,Tr,56.00,9.00,Tr,N,,0.08,0.07,0.10,1.10,1.20,0.12,N,16.00,N,N,Tr
"Baking fat and margarine (75-90% fat), hard block","10 samples, 4 products, including Stork and own brands",22.20,Tr,Tr,76.40,0.00,688.00,2827,0.00,0.0,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,36.16,26.41,12.66,9.25,4.05,2.96,46.47,33.94,46.57,34.00,16.71,12.21,16.71,12.21,36.09,26.36,0.07,0.05,0.10,0.07,15.00,600.00,Tr,1.00,Tr,Tr,0.08,Tr,Tr,1220.00,Tr,Tr,Tr,796.00,655.00,905.00,8.80,12.20,,Tr,Tr,Tr,Tr,Tr,Tr,0.00,Tr,Tr,Tr,0.00
Baking powder,6 samples of the same brand,6.30,0.91,5.20,0.00,37.80,163.00,693,37.80,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.00,11800.00,49.00,1130.00,9.00,8430.00,Tr,Tr,2.80,29.00,Tr,Tr,Tr,0.00,0.00,0.00,0.00,Tr,,Tr,Tr,Tr,1.00,1.00,Tr,0.00,Tr,Tr,Tr,0.00
"Banana bread, homemade",Recipe,27.40,0.75,4.40,12.40,53.90,331.00,1396,17.40,,36.30,7.6,,6.4,19.9,2.2,Tr,,1.4,N,,3.27,,,,,,,,4.42,,,,3.85,,,,,,0.02,30.80,171.00,285.00,85.00,26.00,150.00,1.10,0.19,0.50,185.00,0.49,N,N,N,81.00,N,N,N,,0.11,0.07,0.60,0.90,1.50,0.17,0.20,11.00,0.32,4.10,2.00
"Banana split, homemade",Recipe,63.70,0.38,2.30,11.80,23.90,205.00,858,0.90,,18.40,4.3,,2.3,8.7,0.8,2.6,,0.5,0.6,,6.91,,,,,,,,3.32,,,,0.71,,,,,,0.27,24.40,38.00,224.00,48.00,21.00,56.00,0.36,0.06,0.30,102.00,0.18,1.00,16.00,106.00,77.00,119.00,0.00,0.83,,0.14,0.16,0.60,0.50,1.10,0.13,0.40,12.00,0.39,3.80,4.00
"Bananas, flesh only","11 samples, including Fairtrade and organic, pre-packed and loose",75.00,0.18,1.20,0.10,20.30,81.00,348,2.20,,18.10,7.9,Tr,7.5,2.7,0.0,0.0,0.0,0.8,1.4,,0.04,,,,,,,,Tr,,,,0.04,,,,,,0.00,0.00,Tr,330.00,6.00,27.00,23.00,0.27,0.10,0.20,109.00,0.36,Tr,3.00,0.00,26.00,4.00,0.00,0.16,0.06,0.15,0.04,0.70,0.20,0.90,0.31,0.00,14.00,0.35,2.50,9.00
"Bananas, raw, flesh only, weighed with skin",Calculated from 14-318 using edible factor of 0.87,47.30,0.11,0.80,Tr,12.80,51.00,217,1.40,,11.40,5.0,0.0,4.7,1.7,0.0,0.0,0.0,0.5,0.9,,0.03,,,,,,,,Tr,,,,0.03,,,,,,0.00,0.00,Tr,208.00,4.00,17.00,14.00,0.17,0.06,0.10,69.00,0.23,Tr,2.00,0.00,16.00,3.00,0.00,0.10,0.04,0.09,0.03,0.50,0.20,0.70,0.20,0.00,9.00,0.22,1.60,5.00
"Bannocks, made with beremeal, homemade",Recipe,25.90,1.58,9.30,1.70,56.80,266.00,1131,53.70,,3.10,0.1,,0.1,0.7,0.3,2.0,,8.6,1.0,,0.23,,,,,,,,0.10,,,,0.06,,,,,,Tr,0.80,111.00,474.00,107.00,59.00,327.00,3.65,0.20,2.10,93.00,1.07,2.00,N,3.00,1.00,3.00,Tr,0.63,,0.19,0.12,3.00,2.20,5.20,0.27,0.00,17.00,0.45,6.50,Tr
"Bannocks, made with wheat flour, homemade",Recipe,25.70,1.47,8.50,1.30,65.50,292.00,1246,63.10,,2.40,Tr,,Tr,0.4,0.1,2.0,,2.7,3.1,,0.46,,,,,,,,0.22,,,,0.19,,,,,,Tr,0.80,152.00,309.00,134.00,23.00,218.00,1.52,0.12,0.70,155.00,0.55,3.00,N,3.00,1.00,3.00,Tr,0.46,,0.18,0.09,1.30,1.90,3.20,0.12,0.00,8.00,0.35,2.20,Tr
Barbecue sauce,Literature sources (1980),61.60,0.16,1.00,0.10,36.10,140.00,598,6.20,,29.90,N,0.0,N,N,0.0,0.0,0.0,0.5,1.2,,0.00,,,,,,,,0.00,,,,0.10,,,,,,N,0.00,630.00,240.00,17.00,23.00,27.00,0.60,0.11,0.20,970.00,0.10,Tr,1.00,0.00,505.00,84.00,0.00,0.91,,0.03,0.02,0.40,0.10,0.50,0.04,0.00,5.00,0.10,1.00,3.00
"Barbecue sauce, homemade",Recipe,48.30,0.43,2.70,21.00,26.10,300.00,1251,0.10,,21.50,1.8,,2.0,17.1,0.0,0.1,,1.1,1.7,,12.45,,,,,,,,5.91,,,,0.98,,,,,,0.68,50.70,392.00,277.00,74.00,32.00,39.00,2.28,0.10,0.50,698.00,0.30,Tr,N,228.00,194.00,260.00,0.20,0.77,,0.10,0.17,0.60,0.70,1.30,0.12,0.10,5.00,0.10,0.70,2.00
"Barcelona nuts, Kernel only",Kernel only,5.70,2.06,10.90,64.00,5.20,639.00,2637,1.80,,3.40,0.0,,0.0,3.4,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.00,3.00,940.00,170.00,200.00,300.00,3.00,0.96,N,34.00,N,N,N,0.00,0.00,0.00,0.00,N,,0.11,N,N,3.10,N,N,0.00,N,N,N,Tr
"Barcelona nuts, kernel only, weighed with shells",Calculated from 14-804,3.50,1.28,6.80,39.70,3.20,397.00,1636,1.10,,2.10,0.0,,0.0,2.1,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.00,2.00,580.00,110.00,120.00,190.00,1.90,0.59,N,21.00,N,N,N,0.00,0.00,0.00,0.00,N,,0.07,N,N,1.90,N,N,0.00,N,N,N,Tr
"Barley water, diluted",Calculated from 50g concentrate to 200ml water,95.00,0.01,0.10,Tr,4.70,18.00,77,0.40,,4.30,N,0.0,N,N,N,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,3.00,5.00,1.00,0.00,1.00,Tr,Tr,Tr,1.00,Tr,Tr,Tr,0.00,126.00,21.00,0.00,N,,Tr,Tr,0.00,Tr,Tr,0.00,0.00,1.00,Tr,Tr,2.00
"Barley water, undiluted",Orange and lemon flavours,75.20,0.05,0.30,Tr,23.70,90.00,384,2.20,,21.50,N,0.0,N,N,N,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,15.00,27.00,5.00,2.00,4.00,Tr,Tr,Tr,3.00,Tr,Tr,Tr,0.00,630.00,105.00,0.00,N,,Tr,Tr,0.10,Tr,0.10,0.01,0.00,5.00,Tr,Tr,10.00
