name,category,usda_id,source,energy,protein,fat,sat_fat,carbohydrate,total_sugar,starch,fibre,sodium,potassium,calcium,magnesium,phosphorus,iron,copper,zinc,manganese,selenium,iodine,vit_a,vit_c,vit_d,vit_e,vit_k,vit_b1,vit_b2,vit_b3,vit_b6,vit_b12,vit_b9,vit_b7
"Squash, summer, casserole, with cheese sauce",Vegetable dishes,2710061,survey.json,92,3.69,4.71,2.38,9.28,2.84,,1.2,0.172,0.249,0.082,0.023,0.081,0.00077,0.000085,0.00058,0,0.0000031,0,0.000028,0.0139,0.0000002,0.00013,0.000004,0.000117,0.000126,0.000896,0.000121,0.00000008,0.000026,0
"Squash, summer, souffle",Vegetable dishes,2710062,survey.json,125,4.65,8.94,4.45,6.87,3.16,,0.7,0.232,0.218,0.063,0.018,0.095,0.00079,0.000047,0.00059,0,0.0000075,0,0.000109,0.0066,0.0000009,0.00029,0.0000027,0.000079,0.000173,0.000511,0.000092,0.00000026,0.000024,0
"Stew, vegetable",Vegetable dishes,2710063,survey.json,47,1.41,0.24,0.032,10.1,2.51,,2.1,0.296,0.258,0.018,0.016,0.038,0.00036,0.000075,0.00027,0,0.0000002,0,0,0.0112,0,0.0003,0.0000086,0.000052,0.000054,0.000953,0.000108,0,0.00002,0
"Chow mein or chop suey, meatless, no noodles",Stir-fry and soy-based sauce mixtures,2710064,survey.json,43,1.34,1.68,0.293,5.74,2.63,,1.2,0.344,0.136,0.025,0.009,0.03,0.00042,0.000032,0.00019,0,0.0000004,0,0,0.0072,0,0.0005,0.0000189,0.00002,0.000098,0.000507,0.000086,0,0.00004,0
Vegetable tempura,Fried vegetables,2710065,survey.json,239,3.81,15.8,2.32,20.4,1.49,,1.6,0.012,0.179,0.022,0.015,0.062,0.00154,0.000096,0.0004,0,0.0000068,0,0.000013,0.016,0.0000002,0.00303,0.0000263,0.00019,0.000164,0.00174,0.000105,0.00000006,0.00004,0
Pakora,Fried vegetables,2710066,survey.json,125,4.92,4.77,0.598,16.2,2.97,,3.2,0.38,0.214,0.019,0.022,0.064,0.00112,0.000167,0.00067,0,0.0000001,0,0,0.0035,0,0.00087,0.0000073,0.000116,0.000056,0.000451,0.000152,0,0.000129,0
Vegetable curry,Vegetable dishes,2710067,survey.json,86,1.6,5.27,1.26,8.81,3.18,,1.8,0.388,0.286,0.021,0.016,0.041,0.00068,0.000088,0.00026,0,0.0000006,0,0.000001,0.0123,0,0.00141,0.0000104,0.000047,0.000058,0.000815,0.000137,0.00000001,0.000019,0
Vegetable curry with rice,Vegetable dishes,2710068,survey.json,103,2.03,3.27,0.784,16.5,1.93,,1.3,0.331,0.186,0.017,0.015,0.042,0.00088,0.00008,0.00035,0,0.0000034,0,0.000001,0.0074,0,0.00086,0.0000063,0.000093,0.00004,0.00108,0.000119,0.00000001,0.000035,0
"Chow mein or chop suey, meatless, with noodles",Fried rice and lo/chow mein,2710069,survey.json,117,2.98,5.05,1.4,15.7,2.18,,2.1,0.434,0.13,0.021,0.011,0.042,0.00146,0.000048,0.0003,0,0.0000052,0,0,0.006,0,0.00056,0.0000166,0.000114,0.00015,0.00123,0.000079,0,0.000055,0
"Green beans, pickled","Olives, pickles, pickled vegetables",2710070,survey.json,54,1.63,0.25,0.041,11,6.8,,2.5,0.944,0.241,0.035,0.023,0.034,0.00054,0.000082,0.00029,0,0.0000006,0,0,0.0086,0,0.00034,0.0000364,0.000045,0.000083,0.000576,0.00009,0,0.000023,0
